term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
R_DEPRESYes,1.4389167672886956,0.2903060699274972,0.2792419708573116,1.3031371482378293,0.19252794312436455,0.832423777164393,2.4872925545658178,W8,Adjusted
BMI_CV_W9,1.051916648424671,0.040360496057492604,0.049522061001807303,1.0220471163185847,0.3067586009603819,0.954614603627993,1.1591365049598585,W9,Adjusted
BASELINE_AGE,1.0937616078040124,0.03171394799288612,0.029415355093591757,3.0468022975618814,0.00231289779422021,1.0324862565395247,1.158673490449722,W9,Adjusted
RAGENDERFemale,1.165991813115353,0.28079573528191054,0.287446462199078,0.5342631994385029,0.593159449284159,0.6637745987613909,2.048190621920356,W9,Adjusted
RACE_ETH3Non-Hispanic Black,0.7847325859989678,0.6033060017945743,0.628686286564555,-0.3855854329808762,0.6998037233121969,0.22886688028445132,2.6906699246446784,W9,Adjusted
RACE_ETH3Hispanic or Other,1.4016157393482125,0.4829569875785312,0.48430822618464286,0.6971297459771393,0.4857216001264463,0.5424816548718923,3.6213697977539208,W9,Adjusted
RAEDUCGED,4.143078580594569,0.5979681306774667,0.588985870569406,2.413367112893375,0.01580589042245372,1.3061031851517304,13.142223616113018,W9,Adjusted
RAEDUCHigh school graduate,1.0237889583016968,0.5660173674585673,0.5478862225031499,0.04291111731342092,0.9657723865801652,0.3498233893313017,2.9962085529616336,W9,Adjusted
RAEDUCCollege or above,1.159557532183878,0.5416804840320714,0.5302712257900591,0.27917504737183874,0.78011049195739,0.41013290634058724,3.2783852494093435,W9,Adjusted
LN_WEALTH,1.0195824948608727,0.039255315558007854,0.02643612994153789,0.7335878882962414,0.46319994483368443,0.9680992772348298,1.0738035739433367,W9,Adjusted
CHRONIC_N,1.0734224790285412,0.11164348066393467,0.12758908499961452,0.5553149192588172,0.5786792758965913,0.8359237409773106,1.378398246156588,W9,Adjusted
HAS_INSHas insurance,0.5235971326241528,1.0199328913904087,1.0437265717128048,-0.6199255042163458,0.5353068337048309,0.067697961418931335,4.0496634100354045,W9,Adjusted
EMP_STATUSUnemployed/Not in labor force,4881894.758355051,2252.6028194682126,0.9579443987301767,16.077179419851383,3.687917891519394e-58,746766.2164835717,31914802.65923207,W9,Adjusted
EMP_STATUSRetired,8159462.61350414,2252.6025988844644,0.21225542124891503,74.97895118504451,0,5382566.631410945,12368974.636124428,W9,Adjusted
EMP_STATUSDisabled,0.6988718439140803,13351.265585594572,0.509966806685583,-0.7025710122705608,0.4823231327795475,0.2572249024366711,1.8988124772877164,W9,Adjusted
SMOKESTATUSEver/Current smoker,1.1819097917462738,0.2652120135753827,0.2578830897743642,0.6480905665361087,0.5169263750400231,0.7129742527088052,1.9592723727658226,W9,Adjusted
R_DEPRESYes,1.1033361184178725,0.43508376683791405,0.42393373665576545,0.2319664996214556,0.8165640335885433,0.48067859652495387,2.5325666651400827,W9,Adjusted
BMIV_CAT_W3Medium variability,1.1395462115008481,0.11597932769972856,0.11630394405261368,1.1231787893056058,0.26136156901143465,0.9072643476900668,1.4312979138352986,W3,Categorical_Unadjusted
BMIV_CAT_W3High variability,1.3428806126316777,0.1383003751929789,0.13936214081056875,2.115474230266936,0.03438954901701278,1.0219087895289187,1.7646666299967255,W3,Categorical_Unadjusted
BMIV_CAT_W4Medium variability,1.24177005569726,0.1191812676650693,0.11902392862996888,1.8192797744352585,0.06886875746359139,0.9833946273281823,1.5680306037626706,W4,Categorical_Unadjusted
