term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
LN_WEALTH,1.0023427759837098,0.024377440635054204,0.01895833307101288,0.12343047007132947,0.901766229920141,0.9657815451670497,1.0402880916439023,W8,Categorical
CHRONIC_N,1.051034215207204,0.08411932199338391,0.0893215486107405,0.5572523880970768,0.5773550008350976,0.8822389228722308,1.2521244448610733,W8,Categorical
HAS_INSHas insurance,0.8103534065078236,1.0084703103577477,1.0160984338424068,-0.20695319974351908,0.8360464083703966,0.11060376407814507,5.937163612034705,W8,Categorical
EMP_STATUSUnemployed/Not in labor force,1.4469951176381743,0.9194165248848708,0.8893200748901936,0.415473667972959,0.6777951876708874,0.2532074301909796,8.26908937423158,W8,Categorical
EMP_STATUSRetired,1.591319390307893,0.71975446033401,0.7083316287984506,0.6558558992307892,0.5119168457543065,0.39703096486466943,6.378085404076818,W8,Categorical
EMP_STATUSDisabled,12.661971529432478,1.0334888592045137,1.0785590645287177,2.3536987607849587,0.018587667587118866,1.5290799458430446,104.85097489377155,W8,Categorical
SMOKESTATUSEver/Current smoker,1.105563451097873,0.19679995296513794,0.19125528523129945,0.5247181294047983,0.5997791524370093,0.7599532540663072,1.6083496423804948,W8,Categorical
R_DEPRESYes,1.4901296329875253,0.2900269056075243,0.2801605044226963,1.4236950315315422,0.15453477260420273,0.8605002434780337,2.5804598429079,W8,Categorical
BMIV_CAT_W9Medium variability,1.1606397866175666,0.3028859608301839,0.31025802992792656,0.4801532237475053,0.6311184449865879,0.6318374158644492,2.1320116226998915,W9,Categorical
BMIV_CAT_W9High variability,1.4224425058745211,0.3378189841290071,0.3475904877975989,1.013766144094881,0.3106943537767986,0.7197226360401054,2.8112811535996194,W9,Categorical
BASELINE_AGE,1.0935664843847546,0.03181673819511598,0.02916117107096467,3.0672416649200405,0.002160441142642053,1.0328164767103334,1.1578897923653417,W9,Categorical
RAGENDERFemale,1.1616485245161965,0.28255612119491924,0.2913848603345326,0.514234466074267,0.6070880734891643,0.656217038214991,2.056373449524111,W9,Categorical
RACE_ETH3Non-Hispanic Black,0.7831743863722301,0.6030993890844152,0.6289554063220063,-0.38858063649478525,0.6975863930842623,0.22829198431267458,2.686744001617869,W9,Categorical
RACE_ETH3Hispanic or Other,1.4042007810897328,0.4833503215161895,0.4822228825906323,0.7039655605507997,0.48145422126690446,0.5457080350794123,3.6132505055126756,W9,Categorical
RAEDUCGED,4.127931871160609,0.5981777509508629,0.5904962587430358,2.4009915439290306,0.01635071433519179,1.2974815597546425,13.13299707794368,W9,Categorical
RAEDUCHigh school graduate,1.0189099017720542,0.5666547765418622,0.5486924207594811,0.03414177295344635,0.9727640978880484,0.34760654688625514,2.9866450940834923,W9,Categorical
RAEDUCCollege or above,1.1575045434671511,0.5423286633034851,0.5297205960705681,0.27611996455705573,0.7824559270373623,0.4098488450147535,3.269050979267413,W9,Categorical
